dpto5,departamento,provincia,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,rank
06399,Guaminí,Buenos Aires,0.36044691347645685,7,57.57142857142857,2.0,37.0,11662.0,85
06644,Pinamar,Buenos Aires,0.3413122954343949,16,54.9375,39.0,413.0,39224.0,86
06028,Almirante Brown,Buenos Aires,0.33840063382334573,15,48.6,65.0,649.0,583209.0,87
86049,Capital,Santiago del Estero,0.33390776549075496,5,55.6,2.0,68.0,328824.0,88
06049,Azul,Buenos Aires,0.30528633771006514,13,58.92307692307692,40.0,356.0,75152.0,89
18168,Santo Tomé,Corrientes,0.28237109209157085,3,62.0,9.0,52.0,71922.0,90
06581,Necochea,Buenos Aires,0.2587933194837455,15,55.6,79.0,862.0,101483.0,91
82007,Belgrano,Santa Fe,0.24890798780561507,7,69.85714285714286,8.0,29.0,48544.0,92
06819,Tornquist,Buenos Aires,0.2487201507175236,9,58.22222222222222,12.0,93.0,14591.0,93
14119,Río Segundo,Córdoba,0.24591435785905214,10,59.0,36.0,187.0,113311.0,94
82133,Vera,Santa Fe,0.243060972080171,6,60.666666666666664,9.0,87.0,55463.0,95
06525,Marcos Paz,Buenos Aires,0.22187873028372326,7,68.71428571428571,7.0,19.0,64761.0,96
30021,Diamante,Entre Ríos,0.21739240281508035,9,61.22222222222222,6.0,71.0,52312.0,97
14140,San Justo,Córdoba,0.21460743141832453,17,53.76470588235294,220.0,1866.0,228951.0,98
30028,Federación,Entre Ríos,0.20830110030168322,11,61.54545454545455,11.0,75.0,78264.0,99
50021,Godoy Cruz,Mendoza,0.20694533617693603,10,57.1,17.0,548.0,194557.0,100
38094,Tilcara,Jujuy,0.20444085977211035,4,71.25,2.0,15.0,14621.0,101
06840,Tres de Febrero,Buenos Aires,0.18420873600298493,14,56.07142857142857,49.0,486.0,362319.0,102
26042,Gaiman,Chubut,0.1643312675668603,8,61.125,9.0,105.0,12505.0,103
06147,Carlos Casares,Buenos Aires,0.16426829191647266,8,54.875,8.0,118.0,22905.0,104
06280,General Alvarado,Buenos Aires,0.16286567520230927,9,56.888888888888886,17.0,203.0,45307.0,105
06882,Zárate,Buenos Aires,0.12767875217164,9,51.77777777777778,19.0,168.0,131415.0,106
06686,Rojas,Buenos Aires,0.10438116897601321,7,63.142857142857146,14.0,82.0,25619.0,107
06119,Brandsen,Buenos Aires,0.10145278733258174,8,65.375,5.0,63.0,32350.0,108
