rank,dpto5,departamento,provincia,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,pct_nbi_2010,pct_jefe_sec_2010,pct_pc_2010,rad_2014,pob_2010,tasa_empleo_2010
46,06063,Balcarce,Buenos Aires,Pampeana-Educated,0.8670710545351585,7,51.285714285714285,18.0,140.0,48516.0,6.413043478260869,30.835597826086957,42.45923913043478,24.06201091770498,43823.0,71.696154
47,06126,Campana,Buenos Aires,Metropolitan-Diversified,0.8552793550583623,21,44.666666666666664,55.0,495.0,107976.0,8.65497492084949,40.21201664828715,52.577282914161714,44.224684823265704,94461.0,73.254022
48,14161,Tercero Arriba,Córdoba,Metropolitan-Core,0.8513170349126551,19,50.578947368421055,79.0,570.0,120207.0,3.3279716013090024,33.22424981973487,50.32725054079538,29.476866953062125,109554.0,71.888997
49,02000,CABA,Ciudad Autónoma de Buenos Aires,Metropolitan-Core,0.8511857005106829,28,40.357142857142854,1359.0,16965.0,3095454.0,5.979824959526455,71.06276312151454,68.61330940568664,92.65709950714964,2890151.0,81.942461
50,14042,General San Martín,Córdoba,Metropolitan-Core,0.8505261933605822,19,45.68421052631579,219.0,2062.0,152397.0,4.642831554058895,39.655131236416615,50.57677151250269,41.27711056933187,127454.0,76.854884
51,82049,General Obligado,Santa Fe,Intermediate-Urban,0.8411040705692342,21,42.714285714285715,76.0,612.0,197533.0,11.775300686425584,29.546318717604915,35.263863595429164,26.940133644795598,176410.0,64.144146
52,06638,Pilar,Buenos Aires,Metropolitan-Diversified,0.8356716181744303,25,46.8,135.0,1410.0,393614.0,13.034800595130093,37.514968973400585,47.30195594585768,44.36795262480596,299077.0,76.31201
53,30008,Colón,Entre Ríos,Metropolitan-Core,0.8143521759324609,16,45.75,17.0,252.0,74890.0,7.609076792065321,29.810148775234182,45.37394179231578,26.685498743829527,62160.0,72.519945
54,06035,Avellaneda,Buenos Aires,Metropolitan-Core,0.7864102172070082,25,45.4,201.0,2001.0,366117.0,5.7997914125612064,44.56170122500928,54.0365204786905,96.62948297092845,342677.0,76.450538
55,06427,La Matanza,Buenos Aires,Intermediate-Urban,0.7543943268160144,22,44.13636363636363,115.0,995.0,1837168.0,11.936878878305002,29.76434753737299,41.92972289646099,75.62513521502268,1775816.0,75.142382
56,14147,Santa María,Córdoba,Metropolitan-Diversified,0.7205618616648354,17,46.94117647058823,70.0,595.0,139012.0,8.186469584991473,36.98834565093803,42.11910176236498,20.959687243351297,98188.0,68.14145
57,06588,9 de Julio,Buenos Aires,Pampeana-Educated,0.7200329441987181,7,50.857142857142854,6.0,32.0,52366.0,3.7159676232523915,32.7140053961246,47.663723325974985,14.424217149432646,47722.0,74.767992
58,58056,Lácar,Neuquén,Pampeana-Educated,0.7143373587666563,11,52.18181818181818,9.0,71.0,39567.0,8.672856362643364,47.558711086837796,58.85308574549426,15.28367836659226,29748.0,76.940185
59,06805,Tigre,Buenos Aires,Metropolitan-Diversified,0.7040965212032566,17,45.64705882352941,113.0,1005.0,446291.0,11.037417785884044,38.640173916247534,52.173953094198495,62.271090831375254,376381.0,76.689554
60,06595,Olavarría,Buenos Aires,Metropolitan-Core,0.6888784177497715,15,45.2,42.0,416.0,122011.0,3.3039468330394683,35.168859351688596,50.49776210497762,35.76093234095496,111708.0,74.035066
61,06413,Junín,Buenos Aires,Metropolitan-Core,0.6848830624922992,13,56.61538461538461,60.0,460.0,100964.0,4.192643905657265,42.945736434108525,53.122216724393866,25.856437877589993,90305.0,76.611411
62,34014,Formosa,Formosa,Metropolitan-Diversified,0.6063073851547917,17,43.0,335.0,5068.0,268572.0,15.058846074000735,41.15871672442152,37.03390236502132,65.21027759090263,234354.0,68.260404
63,06408,Hurlingham,Buenos Aires,Metropolitan-Core,0.6014376810617007,16,51.0625,95.0,1125.0,185361.0,6.848445266862596,38.001161060919415,51.380573999492036,48.15765860776126,181241.0,76.118252
64,38021,Dr. Manuel Belgrano,Jujuy,Metropolitan-Diversified,0.5958203458392622,17,50.1764705882353,448.0,6204.0,319469.0,11.080620875022868,44.992330532922416,44.03681344197239,34.72183125929995,265249.0,73.515603
65,54042,Eldorado,Misiones,Intermediate-Urban,0.5944371013689954,15,52.2,25.0,267.0,91133.0,14.522764039750404,26.11046914721516,27.575687543332563,11.461822761439048,78221.0,62.681567
66,14021,Colón,Córdoba,Metropolitan-Diversified,0.554672501310723,21,50.42857142857143,117.0,1506.0,294511.0,7.808090310442145,43.930699278770774,48.13264346190028,26.58199126706159,225151.0,72.265323
67,30056,Gualeguaychú,Entre Ríos,Metropolitan-Core,0.5371704662587636,19,48.578947368421055,80.0,592.0,125176.0,4.960570567088021,36.08083033746956,47.700916154470605,29.33113634269448,109461.0,71.253003
68,06515,Malvinas Argentinas,Buenos Aires,Intermediate-Urban,0.5125530762645645,13,46.53846153846154,34.0,451.0,349401.0,12.130336474960263,27.80451767444984,43.523472654413574,58.65020045747737,322375.0,73.984746
69,54063,Iguazú,Misiones,Intermediate-Urban,0.5081655503845867,18,49.72222222222222,22.0,170.0,99838.0,21.31277368862387,26.772570576725986,31.016491195378737,17.78382860292381,82227.0,64.689349
70,06749,San Fernando,Buenos Aires,Metropolitan-Diversified,0.5036300362291748,13,51.69230769230769,42.0,625.0,171099.0,8.583751822452616,41.52154543981857,53.39988660294832,142.47610086768182,163240.0,77.873198
71,06868,Villa Gesell,Buenos Aires,Metropolitan-Diversified,0.5033876292425022,9,49.22222222222222,17.0,175.0,37325.0,8.309234625024098,43.474069789859264,48.361287834972046,29.150913398596433,31730.0,72.788096
72,06091,Berazategui,Buenos Aires,Metropolitan-Diversified,0.5008394151205915,17,49.64705882352941,110.0,843.0,358328.0,10.436434674337727,34.224593190502766,46.7294233824224,64.88586586236188,324244.0,73.038969
73,26021,Escalante,Chubut,Metropolitan-Diversified,0.4842583946308447,17,56.76470588235294,68.0,512.0,214829.0,9.25010989010989,43.21054945054945,63.70285714285714,68.28073829450744,186583.0,74.520883
74,82070,Las Colonias,Santa Fe,Metropolitan-Core,0.48398413268455387,13,46.53846153846154,32.0,347.0,114730.0,3.484137850671483,32.338975150755964,45.21222361406473,27.98897262440063,104946.0,72.783535
