dpto5,Departamento,Provincia,ECI_individual,Rank_individual,ECI_bundle,Rank_bundle,Rank_change
70028,Capital,San Juan,-0.2623,134,-0.4309,147,-13
14126,San Alberto,Córdoba,-0.2692,135,-0.0307,127,8
06315,General Juan Madariaga,Buenos Aires,-0.2719,136,0.0197,123,13
06260,Esteban Echeverría,Buenos Aires,-0.2765,137,0.2487,100,37
06410,Ituzaingó,Buenos Aires,-0.2790,138,0.2621,97,41
54070,Leandro N. Alem,Misiones,-0.2860,139,0.2496,99,40
70035,Caucete,San Juan,-0.2885,140,-2.1284,222,-82
58042,Chos Malal,Neuquén,-0.2941,141,-0.3402,142,-1
06672,Rauch,Buenos Aires,-0.2954,142,-0.3562,144,-2
06270,Ezeiza,Buenos Aires,-0.3320,143,0.1262,118,25
06210,Chacabuco,Buenos Aires,-0.3416,144,0.2356,102,42
06547,Monte,Buenos Aires,-0.3437,145,0.3402,94,51
22098,Mayor Luis J. Fontana,Chaco,-0.3444,146,-0.4297,146,0
06420,La Costa,Buenos Aires,-0.3565,147,0.4285,83,64
30077,Nogoyá,Entre Ríos,-0.3896,148,-0.7606,170,-22
66140,Rosario de la Frontera,Salta,-0.3974,149,-0.4482,150,-1
50014,General Alvear,Mendoza,-0.4221,150,-0.7807,171,-21
66049,General Güemes,Salta,-0.4310,151,-0.7538,168,-17
06854,25 de Mayo,Buenos Aires,-0.4396,152,0.2028,109,43
06196,Coronel Pringles,Buenos Aires,-0.4412,153,-0.4672,152,1
82112,San Justo,Santa Fe,-0.4433,154,-0.7807,171,-17
10021,Andalgalá,Catamarca,-0.4459,155,-0.2928,139,16
54098,San Ignacio,Misiones,-0.4541,156,-0.6397,161,-5
10105,Tinogasta,Catamarca,-0.4592,157,-0.4605,151,6
58070,Los Lagos,Neuquén,-0.4597,158,-0.6734,164,-6
06105,Bolívar,Buenos Aires,-0.4744,159,-1.0146,186,-27
54077,Libertador General San Martín,Misiones,-0.4766,160,-0.9944,185,-25
38042,Palpalá,Jujuy,-0.4985,161,-0.3726,145,16
06469,Lincoln,Buenos Aires,-0.4987,162,0.0151,124,38
06778,San Vicente,Buenos Aires,-0.5175,163,-0.7807,171,-8
06238,Dolores,Buenos Aires,-0.5911,164,-1.8869,213,-49
82119,San Lorenzo,Santa Fe,-0.6123,165,-0.1804,134,31
30088,San Salvador,Entre Ríos,-0.6314,166,-0.5501,157,9
06483,Lobos,Buenos Aires,-0.6447,167,-0.3276,140,27
06707,Saladillo,Buenos Aires,-0.6588,168,-0.2234,136,32
14056,Juárez Celman,Córdoba,-0.6639,169,0.4329,82,87
06455,Las Flores,Buenos Aires,-0.6987,170,-1.1981,192,-22
06735,San Antonio de Areco,Buenos Aires,-0.7220,171,-0.1409,131,40
82028,Constitución,Santa Fe,-0.7293,172,-0.4372,148,24
50119,Tunuyán,Mendoza,-0.7366,173,-0.6701,163,10
26035,Futaleufú,Chubut,-0.7648,174,-0.8430,177,-3
30105,Victoria,Entre Ríos,-0.7694,175,-1.3835,198,-23
06655,Punta Indio,Buenos Aires,-0.7800,176,-1.8869,213,-37
22021,Comandante Fernández,Chaco,-0.7854,177,-0.9638,182,-5
50056,Lavalle,Mendoza,-0.7873,178,0.4369,81,97
06532,Mercedes,Buenos Aires,-0.7952,179,-0.5383,155,24
06231,Daireaux,Buenos Aires,-0.8082,180,-0.4898,153,27
06651,Puán,Buenos Aires,-0.8407,181,-1.1593,188,-7
14035,General Roca,Córdoba,-0.8509,182,-0.9827,183,-1
06203,Coronel Suárez,Buenos Aires,-0.9051,183,-0.9074,180,3
18084,Ituzaingó,Corrientes,-0.9235,184,-0.4974,154,30
06077,Arrecifes,Buenos Aires,-0.9568,185,-1.0514,187,-2
06784,Suipacha,Buenos Aires,-0.9662,186,-0.6476,162,24
06714,Salto,Buenos Aires,-0.9805,187,-0.9827,183,4
06574,Navarro,Buenos Aires,-0.9811,188,-0.5775,158,30
06518,Mar Chiquita,Buenos Aires,-1.0073,189,-0.5939,159,30
06385,General Viamonte,Buenos Aires,-1.0334,190,-1.7654,210,-20
46014,Capital,La Rioja,-1.0398,191,-1.8869,213,-22
90119,Yerba Buena,Tucumán,-1.0447,192,-1.2809,197,-5
66056,General José de San Martín,Salta,-1.0456,193,-1.2242,193,0
06505,Magdalena,Buenos Aires,-1.0602,194,-1.2242,193,1
06277,Florentino Ameghino,Buenos Aires,-1.0989,195,-0.6948,166,29
90070,Monteros,Tucumán,-1.1401,196,-1.4183,200,-4
06511,Maipú,Buenos Aires,-1.1592,197,-1.1688,191,6
06021,Alberti,Buenos Aires,-1.1651,198,-0.8099,175,23
58112,Zapala,Neuquén,-1.1902,199,-0.8378,176,23
38035,Ledesma,Jujuy,-1.2009,200,-0.7035,167,33
06301,General Belgrano,Buenos Aires,-1.3196,201,-1.1626,189,12
82091,San Cristóbal,Santa Fe,-1.3483,202,-0.9212,181,21
66077,La Caldera,Salta,-1.4026,203,-0.8490,178,25
50070,Maipú,Mendoza,-1.4414,204,-2.1284,222,-18
06462,Leandro N. Alem,Buenos Aires,-1.4650,205,-1.5839,203,2
22105,9 de Julio,Chaco,-1.4804,206,-1.1626,189,17
90077,Río Chico,Tucumán,-1.5398,207,-1.8869,213,-6
90021,Chicligasta,Tucumán,-1.5530,208,-1.2644,196,12
06798,Tapalqué,Buenos Aires,-1.6862,209,-1.8869,213,-4
06392,General Villegas,Buenos Aires,-1.7067,210,-1.5839,203,7
06189,Coronel Dorrego,Buenos Aires,-1.7154,211,-1.5839,203,8
30113,Villaguay,Entre Ríos,-1.9757,212,-1.5839,203,9
06742,San Cayetano,Buenos Aires,-1.9757,212,-1.8254,211,1
90049,La Cocha,Tucumán,-1.9765,214,-1.6454,207,7
82105,San Jerónimo,Santa Fe,-1.9765,214,-1.6454,207,7
06112,Bragado,Buenos Aires,-1.9765,214,-1.8869,213,1
54084,Montecarlo,Misiones,-2.0506,217,-1.5224,201,16
54014,Cainguás,Misiones,-2.0506,217,-1.8254,211,6
90112,Trancas,Tucumán,-2.0692,219,-1.8869,221,-2
06084,Benito Juárez,Buenos Aires,-2.1804,220,-1.5224,201,19
66021,Cafayate,Salta,-2.1815,221,-1.8869,213,8
06322,General La Madrid,Buenos Aires,-2.1815,221,-1.6454,207,14
78021,Güer Aike,Santa Cruz,-2.1815,221,-1.8869,213,8
06294,General Arenales,Buenos Aires,-2.5720,224,-2.1284,222,2
