dpto5,departamento,provincia,region,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,gh_devs_per_10k,pob_2010,pob_2022,pct_jefe_sec_2010,pct_pc_2010,pct_nbi_2010,rad_2014
06638,Pilar,Buenos Aires,Pampeana,Metropolitan-Diversified,0.8356716181744303,25,46.8,135.0,1410.0,3.429756055424858,299077.0,393614.0,37.514968973400585,47.30195594585768,13.034800595130093,44.36795262480596
30008,Colón,Entre Ríos,Pampeana,Metropolitan-Core,0.8143521759324609,16,45.75,17.0,252.0,2.269995994124716,62160.0,74890.0,29.810148775234182,45.37394179231578,7.609076792065321,26.685498743829527
06035,Avellaneda,Buenos Aires,Pampeana,Metropolitan-Core,0.7864102172070082,25,45.4,201.0,2001.0,5.490048263260105,342677.0,366117.0,44.56170122500928,54.0365204786905,5.7997914125612064,96.62948297092845
06427,La Matanza,Buenos Aires,Pampeana,Intermediate-Urban,0.7543943268160144,22,44.13636363636363,115.0,995.0,0.6259634393806119,1775816.0,1837168.0,29.76434753737299,41.92972289646099,11.936878878305002,75.62513521502268
14147,Santa María,Córdoba,Pampeana,Metropolitan-Diversified,0.7205618616648354,17,46.94117647058823,70.0,595.0,5.035536500446005,98188.0,139012.0,36.98834565093803,42.11910176236498,8.186469584991473,20.959687243351297
06588,9 de Julio,Buenos Aires,Pampeana,Pampeana-Educated,0.7200329441987181,7,50.857142857142854,6.0,32.0,1.1457816140243668,47722.0,52366.0,32.7140053961246,47.663723325974985,3.7159676232523915,14.424217149432646
58056,Lácar,Neuquén,Patagonia,Pampeana-Educated,0.7143373587666563,11,52.18181818181818,9.0,71.0,2.274622791720373,29748.0,39567.0,47.558711086837796,58.85308574549426,8.672856362643364,15.28367836659226
06805,Tigre,Buenos Aires,Pampeana,Metropolitan-Diversified,0.7040965212032566,17,45.64705882352941,113.0,1005.0,2.531980255035392,376381.0,446291.0,38.640173916247534,52.173953094198495,11.037417785884044,62.271090831375254
06595,Olavarría,Buenos Aires,Pampeana,Metropolitan-Core,0.6888784177497715,15,45.2,42.0,416.0,3.442312578374081,111708.0,122011.0,35.168859351688596,50.49776210497762,3.3039468330394683,35.76093234095496
06413,Junín,Buenos Aires,Pampeana,Metropolitan-Core,0.6848830624922992,13,56.61538461538461,60.0,460.0,5.942712253872667,90305.0,100964.0,42.945736434108525,53.122216724393866,4.192643905657265,25.856437877589993
34014,Formosa,Formosa,NEA,Metropolitan-Diversified,0.6063073851547917,17,43.0,335.0,5068.0,12.473377716217625,234354.0,268572.0,41.15871672442152,37.03390236502132,15.058846074000735,65.21027759090263
06408,Hurlingham,Buenos Aires,Pampeana,Metropolitan-Core,0.6014376810617007,16,51.0625,95.0,1125.0,5.125134197592805,181241.0,185361.0,38.001161060919415,51.380573999492036,6.848445266862596,48.15765860776126
38021,Dr. Manuel Belgrano,Jujuy,NOA,Metropolitan-Diversified,0.5958203458392622,17,50.1764705882353,448.0,6204.0,14.023269863429629,265249.0,319469.0,44.992330532922416,44.03681344197239,11.080620875022868,34.72183125929995
54042,Eldorado,Misiones,NEA,Intermediate-Urban,0.5944371013689954,15,52.2,25.0,267.0,2.74324339152667,78221.0,91133.0,26.11046914721516,27.575687543332563,14.522764039750404,11.461822761439048
14021,Colón,Córdoba,Pampeana,Metropolitan-Diversified,0.554672501310723,21,50.42857142857143,117.0,1506.0,3.9726869285018216,225151.0,294511.0,43.930699278770774,48.13264346190028,7.808090310442145,26.58199126706159
30056,Gualeguaychú,Entre Ríos,Pampeana,Metropolitan-Core,0.5371704662587636,19,48.578947368421055,80.0,592.0,6.391001469930338,109461.0,125176.0,36.08083033746956,47.700916154470605,4.960570567088021,29.33113634269448
06515,Malvinas Argentinas,Buenos Aires,Pampeana,Intermediate-Urban,0.5125530762645645,13,46.53846153846154,34.0,451.0,0.973093952221087,322375.0,349401.0,27.80451767444984,43.523472654413574,12.130336474960263,58.65020045747737
54063,Iguazú,Misiones,NEA,Intermediate-Urban,0.5081655503845867,18,49.72222222222222,22.0,170.0,2.203569783048539,82227.0,99838.0,26.772570576725986,31.016491195378737,21.31277368862387,17.78382860292381
06749,San Fernando,Buenos Aires,Pampeana,Metropolitan-Diversified,0.5036300362291748,13,51.69230769230769,42.0,625.0,2.4547191976574965,163240.0,171099.0,41.52154543981857,53.39988660294832,8.583751822452616,142.47610086768182
06868,Villa Gesell,Buenos Aires,Pampeana,Metropolitan-Diversified,0.5033876292425022,9,49.22222222222222,17.0,175.0,4.5545880776959144,31730.0,37325.0,43.474069789859264,48.361287834972046,8.309234625024098,29.150913398596433
06091,Berazategui,Buenos Aires,Pampeana,Metropolitan-Diversified,0.5008394151205915,17,49.64705882352941,110.0,843.0,3.069813132102431,324244.0,358328.0,34.224593190502766,46.7294233824224,10.436434674337727,64.88586586236188
26021,Escalante,Chubut,Patagonia,Metropolitan-Diversified,0.4842583946308447,17,56.76470588235294,68.0,512.0,3.1653082218881066,186583.0,214829.0,43.21054945054945,63.70285714285714,9.25010989010989,68.28073829450744
82070,Las Colonias,Santa Fe,Pampeana,Metropolitan-Core,0.48398413268455387,13,46.53846153846154,32.0,347.0,2.789157151573259,104946.0,114730.0,32.338975150755964,45.21222361406473,3.484137850671483,27.98897262440063
06364,General Rodríguez,Buenos Aires,Pampeana,Intermediate-Urban,0.4808128530827046,16,54.9375,17.0,176.0,1.194533253697783,87185.0,142315.0,29.607638610286447,37.52708015726551,13.91719489689481,35.084051038358616
