rank_old,dpto5,departamento,provincia,eci_software_old,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,eci_software_new,rank_new,rank_change
111,54091,Oberá,Misiones,0.0746723148664097,14,59.57142857142857,51.0,388.0,120703.0,0.0509021479316404,113,-2
112,06826,Trenque Lauquen,Buenos Aires,0.061753132591151,10,63.7,19.0,215.0,49128.0,0.0679992797313111,111,1
113,06252,Escobar,Buenos Aires,0.0343054008809755,14,53.71428571428572,30.0,324.0,256071.0,0.0551299113207633,112,1
114,54119,25 de Mayo,Misiones,0.0040789501488543,3,74.66666666666667,1.0,19.0,30877.0,-0.0077850199099309,115,-1
115,06224,Chivilcoy,Buenos Aires,0.0033560714515847,10,64.5,46.0,344.0,70554.0,-0.0080618768313085,116,-1
116,06161,Carmen de Areco,Buenos Aires,-0.004442158503092,8,62.25,3.0,72.0,17345.0,0.0018619450544359,114,2
117,06182,Coronel de Marina Leonardo Rosales,Buenos Aires,-0.0148294505674331,9,61.22222222222222,37.0,276.0,65823.0,-0.0155242747994564,117,0
118,06833,Tres Arroyos,Buenos Aires,-0.047869570168577,10,62.8,58.0,320.0,61889.0,-0.0442443980515446,118,0
119,14028,Cruz del Eje,Córdoba,-0.0497861938300412,12,62.91666666666666,39.0,492.0,64748.0,-0.0602333768095333,121,-2
120,06648,Presidente Perón,Buenos Aires,-0.0598827836934165,6,67.66666666666667,13.0,53.0,101994.0,-0.0745978968323103,122,-2
121,14084,Presidente Roque Sáenz Peña,Córdoba,-0.0691626171218055,7,69.42857142857143,11.0,55.0,37551.0,-0.0586247515207212,119,2
122,06412,José C. Paz,Buenos Aires,-0.0701509674452166,9,67.55555555555556,14.0,128.0,326527.0,-0.0599004368922568,120,2
123,06175,Colón,Buenos Aires,-0.0739230947775929,4,75.75,5.0,25.0,27406.0,-0.0762270152870562,123,0
124,06553,Monte Hermoso,Buenos Aires,-0.1018922605441395,7,68.0,6.0,36.0,8444.0,-0.1076790303614473,125,-1
125,30091,Tala,Entre Ríos,-0.107730333929143,7,61.285714285714285,3.0,39.0,31091.0,-0.1008804457175492,124,1
126,06070,Baradero,Buenos Aires,-0.1086120193615484,6,65.16666666666667,29.0,270.0,39223.0,-0.1298151901805387,126,0
127,06700,Saavedra,Buenos Aires,-0.1281323080546501,3,52.66666666666666,2.0,19.0,21407.0,-0.1459448699667231,128,-1
128,06728,San Andrés de Giles,Buenos Aires,-0.1501524897789194,5,74.8,3.0,17.0,26399.0,-0.1369906753971482,127,1
129,50028,Guaymallén,Mendoza,-0.1737666197869212,6,71.16666666666667,4.0,88.0,320871.0,-0.1922857858347619,130,-1
130,70035,Caucete,San Juan,-0.1834655657595462,1,77.0,3.0,13.0,44017.0,-0.2884997504830555,140,-10
131,22168,25 de Mayo,Chaco,-0.1938823552836859,5,86.2,3.0,70.0,32606.0,-0.1832676944989586,129,2
132,06770,San Pedro,Buenos Aires,-0.2078557109758755,8,67.375,15.0,174.0,68353.0,-0.2105340875876277,131,1
133,06665,Ramallo,Buenos Aires,-0.2288527522882615,8,70.375,22.0,213.0,39648.0,-0.2294640502752123,132,1
134,06245,Ensenada,Buenos Aires,-0.237846419354281,9,70.66666666666667,12.0,141.0,63978.0,-0.242282523091413,133,1
135,70028,Capital,San Juan,-0.2463977030900613,9,64.55555555555556,12.0,117.0,114849.0,-0.2623356027303298,134,1
136,14119,Río Segundo,Córdoba,-0.256534005862021,9,69.66666666666667,36.0,187.0,113311.0,0.2459143578590521,94,42
137,58042,Chos Malal,Neuquén,-0.2606505616777119,4,70.0,2.0,38.0,18289.0,-0.2941048860690919,141,-4
138,06410,Ituzaingó,Buenos Aires,-0.2647520156610499,10,64.0,23.0,204.0,177983.0,-0.2789780995333067,138,0
139,54070,Leandro N. Alem,Misiones,-0.267845902647616,9,67.33333333333333,14.0,48.0,49391.0,-0.2860010788143112,139,0
140,06672,Rauch,Buenos Aires,-0.2767358493085537,8,68.375,4.0,33.0,16491.0,-0.2954401299521512,142,-2
141,06260,Esteban Echeverría,Buenos Aires,-0.2849492933677051,11,66.45454545454545,41.0,598.0,337880.0,-0.2765221147532085,137,4
142,06315,General Juan Madariaga,Buenos Aires,-0.2863953893134364,7,76.57142857142857,4.0,38.0,22566.0,-0.2719276196897822,136,6
143,22098,Mayor Luis J. Fontana,Chaco,-0.3043926869746426,5,61.0,4.0,52.0,59798.0,-0.3444487000041602,146,-3
144,06270,Ezeiza,Buenos Aires,-0.3195339727609819,11,70.0,17.0,183.0,198620.0,-0.3319603966849903,143,1
145,06420,La Costa,Buenos Aires,-0.3247771565250335,8,70.5,19.0,153.0,100400.0,-0.3565379252927158,147,-2
146,06547,Monte,Buenos Aires,-0.3474935242287122,11,68.72727272727273,22.0,444.0,24616.0,-0.3436905777518008,145,1
147,06210,Chacabuco,Buenos Aires,-0.3559413523847779,9,63.66666666666666,11.0,44.0,52409.0,-0.3415774341741209,144,3
148,30077,Nogoyá,Entre Ríos,-0.3628874592398198,6,79.16666666666667,13.0,60.0,42954.0,-0.3895843833463684,148,0
